Time_ms;Coronal;Sagital;Transversal;;
1567;-0.4526378357713333;-0.2735873000989614;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.34,62851;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76122
1587;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,62892;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76122
1607;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,62932;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76122
1618;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,62953;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76122
1638;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,62953;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76163
1659;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,62994;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76163
1679;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,62994;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76204
1700;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,63035;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76204
1720;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,63035;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76244
1740;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,63076;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76244
1751;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,63076;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76265
1771;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,63076;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76306
1792;-0.4526378357713333;-0.810218978346076;-0.9106038632166257;#DCM=0.12,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,63076;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76347
1812;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63117;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76347
1833;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63117;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76388
1853;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63158;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76388
1874;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63158;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76429
1894;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63158;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76470
1915;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63158;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76511
1935;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63199;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76511
1956;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63240;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76511
1976;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63281;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76511
1997;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63281;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76552
2017;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63281;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76593
2038;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63281;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76634
2058;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63322;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76634
2079;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63363;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76634
2099;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63363;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76675
2120;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63363;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76716
2140;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63404;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76716
2160;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63404;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76756
2171;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63404;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76777
2191;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63444;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76777
2201;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63465;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76777
2222;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63465;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76818
2242;-0.6417170119329193;-0.810218978346076;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63465;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76859
2263;-0.6417170119329193;-0.8104277712464907;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63465;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76900
2283;-0.6417170119329193;-0.8104277712464907;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63506;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76900
2304;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63547;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76900
2324;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63547;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76941
2345;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,63547;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76982
