Time_ms;Coronal;Sagital;Transversal;1;2
1516;-0.8021487637120154;-0.43435220380219247;-0.5966874176857955;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,304392;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241805;
1536;-0.8021487637120154;-0.43435220380219247;-0.5966874176857955;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,304433;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241805;
1557;-0.8021487637120154;-0.43435220380219247;-0.5966874176857955;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,304433;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241846;
1577;-0.8021487637120154;-0.43435220380219247;-0.5966874176857955;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,304474;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241846;
1598;-0.8021487637120154;-0.43435220380219247;-0.5966874176857955;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,304515;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241846;
1618;-0.2750210837754741;-0.43435220380219247;-0.36713315963460835;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304556;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241846;
1639;-0.2750210837754741;-0.43435220380219247;-0.36713315963460835;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304556;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241887;
1659;-0.2750210837754741;-0.43435220380219247;-0.36713315963460835;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304556;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241928;
1679;-0.2750210837754741;-0.43435220380219247;-0.36713315963460835;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304596;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241928;
1690;-0.2750210837754741;-0.43435220380219247;-0.36713315963460835;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304617;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241928;
